Country,Year,GDP_Predicted,MAPE,RMSE
Spain,2026,2.0779723701845993,15.885990324272537,0.3227477746670913
Spain,2027,2.0779723701845993,15.885990324272537,0.3227477746670913
Spain,2028,2.0779723701845993,15.885990324272537,0.3227477746670913
Sweden,2024,2.2734693877551018,28.67326462357518,0.588295528189812
Sweden,2025,2.2734693877551018,28.67326462357518,0.588295528189812
Sweden,2026,2.2734693877551018,28.67326462357518,0.588295528189812
Sweden,2027,2.2734693877551018,28.67326462357518,0.588295528189812
Sweden,2028,2.2734693877551018,28.67326462357518,0.588295528189812
Switzerland,2024,1.7734693877551018,20.000000000000004,0.3632756247101338
Switzerland,2025,1.7734693877551018,20.000000000000004,0.3632756247101338
Switzerland,2026,1.7734693877551018,20.000000000000004,0.3632756247101338
Switzerland,2027,1.7734693877551018,20.000000000000004,0.3632756247101338
Switzerland,2028,1.7734693877551018,20.000000000000004,0.3632756247101338
Ukraine,2024,0.9573411370418056,85.58486573956603,2.062986973799046
Ukraine,2025,0.39847915333586836,85.58486573956603,2.062986973799046
Ukraine,2026,0.16586108075739836,85.58486573956603,2.062986973799046
Ukraine,2027,0.06903723288837847,85.58486573956603,2.062986973799046
Ukraine,2028,0.028735731752860948,85.58486573956603,2.062986973799046
United Kingdom,2024,1.7918367346938775,25.610801896516183,0.42945778120699324
United Kingdom,2025,1.7918367346938775,25.610801896516183,0.42945778120699324
United Kingdom,2026,1.7918367346938775,25.610801896516183,0.42945778120699324
United Kingdom,2027,1.7918367346938775,25.610801896516183,0.42945778120699324
United Kingdom,2028,1.7918367346938775,25.610801896516183,0.42945778120699324
Algeria,2024,2.148396569659279,19.014960196962107,0.42401683196780965
Algeria,2025,2.264354454256775,19.014960196962107,0.42401683196780965
Algeria,2026,2.302949067899143,19.014960196962107,0.42401683196780965
Algeria,2027,2.315794629952763,19.014960196962107,0.42401683196780965
Algeria,2028,2.320070057244313,19.014960196962107,0.42401683196780965
Angola,2024,4.420509691160024,13.60668659150722,0.551974605164532
Angola,2025,4.545700439702321,13.60668659150722,0.551974605164532
Angola,2026,4.616775427101431,13.60668659150722,0.551974605164532
Angola,2027,4.6571270816174755,13.60668659150722,0.551974605164532
Angola,2028,4.680036069459273,13.60668659150722,0.551974605164532
Benin,2024,5.7039896176074505,4.600681194076745,0.2859750534373259
Benin,2025,5.7039896176074505,4.600681194076745,0.2859750534373259
Benin,2026,5.7039896176074505,4.600681194076745,0.2859750534373259
Benin,2027,5.7039896176074505,4.600681194076745,0.2859750534373259
Benin,2028,5.7039896176074505,4.600681194076745,0.2859750534373259
Botswana,2024,3.924428144557964,3.258282948106002,0.18105172738197298
Botswana,2025,3.924428144557964,3.258282948106002,0.18105172738197298
Botswana,2026,3.924428144557964,3.258282948106002,0.18105172738197298
Botswana,2027,3.924428144557964,3.258282948106002,0.18105172738197298
Botswana,2028,3.924428144557964,3.258282948106002,0.18105172738197298
